2024-08-17 13:53:41,533: asyncio: INFO: [MLTrader] Getting historical prices for GOOGL, 365 bars, day
2024-08-17 13:53:41,533: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,533: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,535: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,535: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,535: asyncio: INFO: [MLTrader] Getting historical prices for AMZN, 365 bars, day
2024-08-17 13:53:41,535: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,536: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,537: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,537: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,537: asyncio: INFO: [MLTrader] Getting historical prices for META, 365 bars, day
2024-08-17 13:53:41,537: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,538: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,539: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,539: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,539: asyncio: INFO: [MLTrader] Getting historical prices for TSLA, 365 bars, day
2024-08-17 13:53:41,539: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,540: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,541: asyncio: INFO: [MLTrader] [34mTrading iteration ended at 2024-08-17 13:53:41[0m
2024-08-17 13:53:41,542: asyncio: INFO: [MLTrader] [34mSleeping for 86400 seconds[0m
2024-08-17 13:53:41,542: root: INFO: Current backtesting datetime 2022-06-03 16:00:00-04:00
2024-08-17 13:53:41,542: root: INFO: Current backtesting datetime 2022-06-04 09:30:00-04:00
2024-08-17 13:53:41,542: asyncio: INFO: [MLTrader] [34mThe market is not currently open, skipping this trading iteration[0m
2024-08-17 13:53:41,543: root: INFO: Current backtesting datetime 2022-06-04 09:29:00-04:00
2024-08-17 13:53:41,544: root: INFO: Current backtesting datetime 2022-06-04 09:29:00-04:00
2024-08-17 13:53:41,544: asyncio: INFO: [MLTrader] Executing the after_market_closes lifecycle method
2024-08-17 13:53:41,544: root: INFO: Current backtesting datetime 2022-06-06 08:30:00-04:00
2024-08-17 13:53:41,544: asyncio: INFO: [MLTrader] Executing the before_market_opens lifecycle method
2024-08-17 13:53:41,545: root: INFO: Current backtesting datetime 2022-06-06 09:30:00-04:00
2024-08-17 13:53:41,545: asyncio: INFO: [MLTrader] Executing the before_starting_trading lifecycle method
2024-08-17 13:53:41,545: asyncio: INFO: [MLTrader] [34mExecuting the on_trading_iteration lifecycle method at 2024-08-17 13:53:41[0m
2024-08-17 13:53:41,545: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,546: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,546: asyncio: INFO: [MLTrader] Getting historical prices for AAPL, 365 bars, day
2024-08-17 13:53:41,546: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,547: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,548: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,548: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,549: asyncio: INFO: [MLTrader] Getting historical prices for MSFT, 365 bars, day
2024-08-17 13:53:41,549: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,549: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,550: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,551: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,551: asyncio: INFO: [MLTrader] Getting historical prices for GOOGL, 365 bars, day
2024-08-17 13:53:41,551: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,551: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,552: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,553: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,553: asyncio: INFO: [MLTrader] Getting historical prices for AMZN, 365 bars, day
2024-08-17 13:53:41,553: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,553: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,554: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,555: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,555: asyncio: INFO: [MLTrader] Getting historical prices for META, 365 bars, day
2024-08-17 13:53:41,555: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,555: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,556: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,556: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,556: asyncio: INFO: [MLTrader] Getting historical prices for TSLA, 365 bars, day
2024-08-17 13:53:41,557: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,557: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,558: asyncio: INFO: [MLTrader] [34mTrading iteration ended at 2024-08-17 13:53:41[0m
2024-08-17 13:53:41,559: asyncio: INFO: [MLTrader] [34mSleeping for 86400 seconds[0m
2024-08-17 13:53:41,559: root: INFO: Current backtesting datetime 2022-06-06 16:00:00-04:00
2024-08-17 13:53:41,559: root: INFO: Current backtesting datetime 2022-06-07 09:30:00-04:00
2024-08-17 13:53:41,559: asyncio: INFO: [MLTrader] [34mExecuting the on_trading_iteration lifecycle method at 2024-08-17 13:53:41[0m
2024-08-17 13:53:41,559: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,560: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,560: asyncio: INFO: [MLTrader] Getting historical prices for AAPL, 365 bars, day
2024-08-17 13:53:41,560: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,560: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,562: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,562: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,562: asyncio: INFO: [MLTrader] Getting historical prices for MSFT, 365 bars, day
2024-08-17 13:53:41,562: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,562: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,564: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,564: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,564: asyncio: INFO: [MLTrader] Getting historical prices for GOOGL, 365 bars, day
2024-08-17 13:53:41,564: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,564: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,565: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,566: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,566: asyncio: INFO: [MLTrader] Getting historical prices for AMZN, 365 bars, day
2024-08-17 13:53:41,566: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,566: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,567: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,567: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,567: asyncio: INFO: [MLTrader] Getting historical prices for META, 365 bars, day
2024-08-17 13:53:41,567: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,568: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,569: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,569: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,569: asyncio: INFO: [MLTrader] Getting historical prices for TSLA, 365 bars, day
2024-08-17 13:53:41,569: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,569: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,570: asyncio: INFO: [MLTrader] [34mTrading iteration ended at 2024-08-17 13:53:41[0m
2024-08-17 13:53:41,571: asyncio: INFO: [MLTrader] [34mSleeping for 86400 seconds[0m
2024-08-17 13:53:41,571: root: INFO: Current backtesting datetime 2022-06-07 16:00:00-04:00
2024-08-17 13:53:41,571: root: INFO: Current backtesting datetime 2022-06-08 09:30:00-04:00
2024-08-17 13:53:41,571: asyncio: INFO: [MLTrader] [34mExecuting the on_trading_iteration lifecycle method at 2024-08-17 13:53:41[0m
2024-08-17 13:53:41,572: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,572: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,572: asyncio: INFO: [MLTrader] Getting historical prices for AAPL, 365 bars, day
